snapshot_date,snapshot_at_utc,market,token,outcome_index,wallet,outcome,amount,size
2026-08-20,2026-08-20T03:07:34Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,12768687634624007055600005734015568712602941457279560333381899746904735873436,1,0x449c7483aade15b5c4772fab7becc60a1c20879e,wbxxx,2026.96,2026.96
2026-08-20,2026-08-20T03:07:34Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,12768687634624007055600005734015568712602941457279560333381899746904735873436,1,0xbfe23d7adb6f6108dba269d7e8f275675f531913,justT,2000.0,2000.0
2026-08-20,2026-08-20T03:07:34Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,12768687634624007055600005734015568712602941457279560333381899746904735873436,1,0x7272c0d9478ef6447f48a20a7db2839a61a4a67d,0x7272c0D9478Ef6447f48A20a7Db2839A61A4a67d-1735227193318,1999.988566,1999.988566
2026-08-20,2026-08-20T03:07:34Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,12768687634624007055600005734015568712602941457279560333381899746904735873436,1,0xd0d920677cf913e289b6467dde2140d4fa43d6db,compute,1888.593335,1888.593335
2026-08-20,2026-08-20T03:07:34Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,12768687634624007055600005734015568712602941457279560333381899746904735873436,1,0xa8c63f775ddbbe66b56614191747def3021444e8,Tenebrus7,1553.449014,1553.449014
2026-08-20,2026-08-20T03:07:34Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,12768687634624007055600005734015568712602941457279560333381899746904735873436,1,0x96881300ba4d966144ff2a77e18f1d849fdf42bd,junchen,1519.0,1519.0
2026-08-20,2026-08-20T03:07:34Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,12768687634624007055600005734015568712602941457279560333381899746904735873436,1,0x8e4f8d2922fa1f5312f89f36d3f4c358c6924594,abdoohl,1354.263332,1354.263332
2026-08-20,2026-08-20T03:07:34Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,12768687634624007055600005734015568712602941457279560333381899746904735873436,1,0x778b3524d05d89789de8035fa7233f33c43b4e2d,0x5D596B48aE81b9ba1Ac9c93a37e09E508ca65162-1775165964909,1205.0,1205.0
2026-08-20,2026-08-20T03:07:34Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,12768687634624007055600005734015568712602941457279560333381899746904735873436,1,0x63e30d708e4f5ad12581730e5fbaf0e53646f341,kohalacoastgabe,1136.363635,1136.363635
2026-08-20,2026-08-20T03:07:34Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,12768687634624007055600005734015568712602941457279560333381899746904735873436,1,0xd7ee835cecd49a3f4c0f0c2b2e2382092ecb0e97,AnonSequitur,1124.0,1124.0
2026-08-20,2026-08-20T03:07:34Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,12768687634624007055600005734015568712602941457279560333381899746904735873436,1,0x4e65b2b18057e294fecf47d4d1b80132eb960f3c,,1034.482757,1034.482757
2026-08-20,2026-08-20T03:07:34Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,12768687634624007055600005734015568712602941457279560333381899746904735873436,1,0x371e379dc5a952769f15870d0f55ab0200150f81,qaz1234,780.0,780.0
2026-08-20,2026-08-20T03:07:34Z,0x9601280c3d5109783ba64644da25bdfdf120ce516a696f88a42f54ffd2ac761b,12768687634624007055600005734015568712602941457279560333381899746904735873436,1,0x0770995e6d1f47e20a696e1c177287556873184b,iadme,459.0,459.0
2026-08-20,2026-08-20T03:07:34Z,0x55937e321733f53af84a7c74884fc86801b97def5b14be888250e7d5057f4be8,12271201066702671192512366723059850977877323787698905069269847136574521131200,0,0xe734e7bf7cfb9e464681f71822f6c2f6be514f0c,boyau,88442.376895,88442.376895
2026-08-20,2026-08-20T03:07:34Z,0x55937e321733f53af84a7c74884fc86801b97def5b14be888250e7d5057f4be8,12271201066702671192512366723059850977877323787698905069269847136574521131200,0,0xf3ad8f80006d90a5ba90112a675d13bffd740724,,24925.719784,24925.719784
2026-08-20,2026-08-20T03:07:34Z,0x55937e321733f53af84a7c74884fc86801b97def5b14be888250e7d5057f4be8,12271201066702671192512366723059850977877323787698905069269847136574521131200,0,0x80a0da00fbdc8440b0ef601341f14c3e24795708,de5nuts,21280.906365,21280.906365
2026-08-20,2026-08-20T03:07:34Z,0x55937e321733f53af84a7c74884fc86801b97def5b14be888250e7d5057f4be8,12271201066702671192512366723059850977877323787698905069269847136574521131200,0,0x25db6ca5935ae858a5c1f2dcd5c62939805328de,0x25db6cA5935ae858A5c1F2dCD5c62939805328dE-1770665598557,18313.342202,18313.342202
2026-08-20,2026-08-20T03:07:34Z,0x55937e321733f53af84a7c74884fc86801b97def5b14be888250e7d5057f4be8,12271201066702671192512366723059850977877323787698905069269847136574521131200,0,0x74471a007ddcc488f6d57b5e86dfb35a8d48a16d,tetrose,17433.483012,17433.483012
2026-08-20,2026-08-20T03:07:34Z,0x55937e321733f53af84a7c74884fc86801b97def5b14be888250e7d5057f4be8,12271201066702671192512366723059850977877323787698905069269847136574521131200,0,0xeb22f4735df6bd5d14e1b5fd10faefa7757d808a,BigRabbit,10000.45325,10000.45325
2026-08-20,2026-08-20T03:07:34Z,0x55937e321733f53af84a7c74884fc86801b97def5b14be888250e7d5057f4be8,12271201066702671192512366723059850977877323787698905069269847136574521131200,0,0xe392d6cc6a012f306cef646f79114eb6f351c023,ssddssd,9530.04521,9530.04521
