source_date,source,screenshot_file,home,away,home_name,away_name,actual_score,winner_home_pct,winner_draw_pct,winner_away_pct,modal_score,home_goals,away_goals,probability_pct,probability_raw,cell_type,match_id,url,old_source_file
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,3,0,5.1,0.051,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,3,1,5.8,0.0579999999999999,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,3,2,3.4,0.034,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,3,3,1.3,0.013,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,2,0,8.4,0.084,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,2,1,9.7,0.0969999999999999,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,2,2,5.6,0.0559999999999999,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,2,3,2.1,0.021,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,1,0,9.4,0.094,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,1,1,10.8,0.108,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,1,2,6.2,0.062,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,1,3,2.4,0.024,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,0,0,5.3,0.053,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,0,1,6.1,0.061,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,0,2,3.5,0.035,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,0,3,1.3,0.013,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,4,1,10.8,0.108,home_gt3_away_0_to_3_representative,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,4,4,0.2,0.002,both_gt3_representative,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia rendered probability grid,old_20260616T-now-next6_score_grids.csv,,,France,Senegal,3-1,,,,,1,4,2.7,0.027,home_0_to_3_away_gt3_representative,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_20260616T-now-next6_score_grids.csv
2026-06-16,Oddspedia correct-score grid,old_combined-next6-20260616T0945_score_grids.csv,,,France,Senegal,3-1,53.0,23.0,24.0,,3,0,5.1,0.051,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_combined-next6-20260616T0945_score_grids.csv
2026-06-16,Oddspedia correct-score grid,old_combined-next6-20260616T0945_score_grids.csv,,,France,Senegal,3-1,53.0,23.0,24.0,,3,1,5.8,0.0579999999999999,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_combined-next6-20260616T0945_score_grids.csv
2026-06-16,Oddspedia correct-score grid,old_combined-next6-20260616T0945_score_grids.csv,,,France,Senegal,3-1,53.0,23.0,24.0,,3,2,3.4,0.034,exact,1654580,https://oddspedia.com/football/france-senegal-1654580,inputs\smartbet_grids\old_combined-next6-20260616T0945_score_grids.csv
