match_id,commence_time,home_team,away_team,winner_home_pct,winner_draw_pct,winner_away_pct,best_odds_value,best_odds_bookie,best_odds_scoreline,source_url_type,source_url,current_url,source_name,score_key,home_goals,away_goals,score_bucket,probability_pct
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,50.6,23.45,26.0,8,bet365,1 : 1,url,https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,nuxt_state_event,0-0,0,0,exact,5.25
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,50.6,23.45,26.0,8,bet365,1 : 1,url,https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,nuxt_state_event,0-1,0,1,exact,6.19
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,50.6,23.45,26.0,8,bet365,1 : 1,url,https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,nuxt_state_event,0-2,0,2,exact,3.69
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,50.6,23.45,26.0,8,bet365,1 : 1,url,https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,nuxt_state_event,0-3,0,3,exact,1.48
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,50.6,23.45,26.0,8,bet365,1 : 1,url,https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,nuxt_state_event,1-0,1,0,exact,9.21
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,50.6,23.45,26.0,8,bet365,1 : 1,url,https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,nuxt_state_event,1-1,1,1,exact,10.85
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,50.6,23.45,26.0,8,bet365,1 : 1,url,https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,nuxt_state_event,1-2,1,2,exact,6.5
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,50.6,23.45,26.0,8,bet365,1 : 1,url,https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,nuxt_state_event,1-3,1,3,exact,2.62
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,50.6,23.45,26.0,8,bet365,1 : 1,url,https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,nuxt_state_event,2-0,2,0,exact,8.05
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,50.6,23.45,26.0,8,bet365,1 : 1,url,https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,nuxt_state_event,2-1,2,1,exact,9.57
netherlands-sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,50.6,23.45,26.0,8,bet365,1 : 1,url,https://oddspedia.com/football/netherlands-sweden-1529,https://oddspedia.com/football/netherlands-sweden-1529,nuxt_state_event,2-2,2,2,exact,5.76
