match_id,home_team,away_team,source_url,market_id,market_name,score_key,home_goals,away_goals,score_bucket,probability_pct,winner_home_pct,winner_draw_pct,winner_away_pct,best_odds_value,best_odds_bookie,best_odds_scoreline,source_state_file
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,0-0,0,0,exact,4.91,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,0-1,0,1,exact,5.42,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,0-2,0,2,exact,3.06,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,0-3,0,3,exact,1.17,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,1-0,1,0,exact,9.36,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,1-1,1,1,exact,10.25,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,1-2,1,2,exact,5.73,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,1-3,1,3,exact,2.18,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,2-0,2,0,exact,8.99,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,2-1,2,1,exact,9.74,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,2-2,2,2,exact,5.39,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,2-3,2,3,exact,2.04,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,3-0,3,0,exact,5.76,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,3-1,3,1,exact,6.19,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,3-2,3,2,exact,3.4,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,3-3,3,3,exact,1.27,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,Other_1,Other,Other,other_home_win,12.4,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,Other_2,Other,Other,other_away_win,2.55,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
germany-ivory-coast,Germany,Ivory Coast,https://oddspedia.com/football/ivory-coast-germany-1654563,800,Correct Score,Other_X,Other,Other,other_draw,0.18,55.85,22.0,22.15,,,,outputs\oddspedia_page_debug_alt\germany-ivory-coast_page_state.json
