match_id,home_team,away_team,source,scoreline,probability,bucket,url
1654580,France,Senegal,Oddspedia rendered probability grid,3-0,0.051,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,3-1,0.057999999999999996,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,3-2,0.034,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,3-3,0.013000000000000001,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,2-0,0.084,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,2-1,0.09699999999999999,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,2-2,0.055999999999999994,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,2-3,0.021,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,1-0,0.094,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,1-1,0.10800000000000001,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,1-2,0.062,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,1-3,0.024,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,0-0,0.053,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,0-1,0.061,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,0-2,0.035,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,0-3,0.013000000000000001,exact,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,4-1,0.10800000000000001,home_gt3_away_0_to_3_representative,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,4-4,0.002,both_gt3_representative,https://oddspedia.com/football/france-senegal-1654580
1654580,France,Senegal,Oddspedia rendered probability grid,1-4,0.027000000000000003,home_0_to_3_away_gt3_representative,https://oddspedia.com/football/france-senegal-1654580
