event_id,sport_key,commence_time,home_team,away_team,bookmaker,bookmaker_title,last_update,market,outcome_name,price,point,description
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,unibet_nl,Unibet (NL),2026-07-03T10:04:42Z,h2h,Australia,3.75,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,unibet_nl,Unibet (NL),2026-07-03T10:04:42Z,h2h,Egypt,2.43,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,unibet_nl,Unibet (NL),2026-07-03T10:04:42Z,h2h,Draw,2.88,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,unibet_nl,Unibet (NL),2026-07-03T10:04:42Z,totals,Over,1.53,1.5,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,unibet_nl,Unibet (NL),2026-07-03T10:04:42Z,totals,Under,2.43,1.5,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,leovegas_se,LeoVegas (SE),2026-07-03T10:03:56Z,h2h,Australia,3.65,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,leovegas_se,LeoVegas (SE),2026-07-03T10:03:56Z,h2h,Egypt,2.38,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,leovegas_se,LeoVegas (SE),2026-07-03T10:03:56Z,h2h,Draw,2.8,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,pmu_fr,PMU (FR),2026-07-03T10:03:56Z,h2h,Australia,3.55,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,pmu_fr,PMU (FR),2026-07-03T10:03:56Z,h2h,Egypt,2.35,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,pmu_fr,PMU (FR),2026-07-03T10:03:56Z,h2h,Draw,2.75,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,pmu_fr,PMU (FR),2026-07-03T10:03:56Z,totals,Over,1.5,1.5,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,pmu_fr,PMU (FR),2026-07-03T10:03:56Z,totals,Under,2.38,1.5,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,unibet_se,Unibet (SE),2026-07-03T10:03:56Z,h2h,Australia,3.75,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,unibet_se,Unibet (SE),2026-07-03T10:03:56Z,h2h,Egypt,2.43,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,unibet_se,Unibet (SE),2026-07-03T10:03:56Z,h2h,Draw,2.88,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,unibet_se,Unibet (SE),2026-07-03T10:03:56Z,totals,Over,1.56,1.5,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,unibet_se,Unibet (SE),2026-07-03T10:03:56Z,totals,Under,2.48,1.5,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,unibet_fr,Unibet (FR),2026-07-03T10:04:31Z,h2h,Australia,3.9,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,unibet_fr,Unibet (FR),2026-07-03T10:04:31Z,h2h,Egypt,2.3,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,unibet_fr,Unibet (FR),2026-07-03T10:04:31Z,h2h,Draw,2.95,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,coolbet,Coolbet,2026-07-03T09:55:23Z,h2h,Australia,3.75,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,coolbet,Coolbet,2026-07-03T09:55:23Z,h2h,Egypt,2.41,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,coolbet,Coolbet,2026-07-03T09:55:23Z,h2h,Draw,2.94,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,coolbet,Coolbet,2026-07-03T09:55:23Z,totals,Over,2.1,2.0,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,coolbet,Coolbet,2026-07-03T09:55:23Z,totals,Under,1.78,2.0,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,betclic_fr,Betclic (FR),2026-07-03T10:04:34Z,h2h,Australia,3.75,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,betclic_fr,Betclic (FR),2026-07-03T10:04:34Z,h2h,Egypt,2.35,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,betclic_fr,Betclic (FR),2026-07-03T10:04:34Z,h2h,Draw,2.95,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,codere_it,Codere (IT),2026-07-03T10:03:57Z,h2h,Australia,3.5,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,codere_it,Codere (IT),2026-07-03T10:03:57Z,h2h,Egypt,2.41,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,codere_it,Codere (IT),2026-07-03T10:03:57Z,h2h,Draw,2.85,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,codere_it,Codere (IT),2026-07-03T10:03:57Z,totals,Over,1.54,1.5,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,codere_it,Codere (IT),2026-07-03T10:03:57Z,totals,Under,2.26,1.5,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,mybookieag,MyBookie.ag,2026-07-03T10:02:59Z,h2h,Australia,3.48,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,mybookieag,MyBookie.ag,2026-07-03T10:02:59Z,h2h,Egypt,2.39,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,mybookieag,MyBookie.ag,2026-07-03T10:02:59Z,h2h,Draw,2.82,,
fb270a3dac2b682c861bd674a5ff4a04,soccer_fifa_world_cup,2026-07-03T18:00:00Z,Australia,Egypt,mybookieag,MyBookie.ag,2026-07-03T10:02:59Z,totals,Over,2.1,2.0,
