anchor_generated_at_utc,recorded_at_utc,source,sport,market_key,source_rows_fetched,source_rows_normalized,mapping_audit_rows,polymarket_rows_eligible,rows_mapped,rows_joined,unique_markets_mapped,mapping_rate,join_rate,ambiguous_rows,stale_rows,missing_anchor_timestamp_rows,price_observed_rows,mean_executable_buy_divergence,mean_midpoint_divergence,zero_mapping,zero_current_join,actionable_rows,accounting_status,denominator_conservation_ok
2026-07-13T08:21:27Z,2026-07-13T08:39:45Z,unknown,basketball_nba_championship_winner,outrights,30,30,0,140,0,0,0,0.0,,0,0,0,0,,,True,False,0,incomplete_missing_mapping_audit,False
2026-07-13T08:21:27Z,2026-07-13T08:39:45Z,unknown,soccer_fifa_world_cup,h2h,6,6,0,455,6,0,,1.0,0.0,0,0,0,0,,,False,True,0,incomplete_missing_mapping_audit,False
2026-07-13T08:21:27Z,2026-07-13T08:39:45Z,unknown,soccer_fifa_world_cup_winner,outrights,4,4,0,42,4,0,,1.0,0.0,0,0,0,0,,,False,True,0,incomplete_missing_mapping_audit,False
2026-07-13T08:46:12Z,2026-07-13T08:48:42Z,betfair_ex_eu,soccer_fifa_world_cup_winner,outrights,4,4,4,42,4,4,1,1.0,1.0,0,0,4,4,0.003,0.0035,False,False,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T08:46:12Z,2026-07-13T08:48:42Z,pinnacle,basketball_nba_championship_winner,outrights,30,30,30,140,0,0,0,0.0,,0,0,30,0,,,True,False,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T08:46:12Z,2026-07-13T08:48:42Z,pinnacle,soccer_fifa_world_cup,h2h,6,6,6,455,6,0,2,1.0,0.0,0,0,6,0,,,False,True,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T09:02:14Z,2026-07-13T09:05:16Z,betfair_ex_eu,soccer_fifa_world_cup_winner,outrights,4,4,4,42,4,4,1,1.0,1.0,0,0,4,4,0.003,0.0035,False,False,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T09:02:14Z,2026-07-13T09:05:16Z,pinnacle,basketball_nba_championship_winner,outrights,30,30,30,140,0,0,0,0.0,,0,0,30,0,,,True,False,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T09:02:14Z,2026-07-13T09:05:16Z,pinnacle,soccer_fifa_world_cup,h2h,6,6,6,455,6,0,2,1.0,0.0,0,0,6,0,,,False,True,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T09:26:43Z,2026-07-13T09:30:14Z,betfair_ex_eu,soccer_fifa_world_cup_winner,outrights,4,4,4,42,4,4,1,1.0,1.0,0,0,4,4,0.003,0.0035,False,False,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T09:26:43Z,2026-07-13T09:30:14Z,pinnacle,basketball_nba_championship_winner,outrights,30,30,30,140,0,0,0,0.0,,0,0,30,0,,,True,False,0,incomplete_missing_raw_fetch_denominator,False
2026-07-13T09:26:43Z,2026-07-13T09:30:14Z,pinnacle,soccer_fifa_world_cup,h2h,6,6,6,455,6,0,2,1.0,0.0,0,0,6,0,,,False,True,0,incomplete_missing_raw_fetch_denominator,False
