file_path,category,market_id,severity,issue_type,message
outputs/polymarket_fixed/all/ml/raw_market_snapshots.csv,all,0xe44df872aee8bdefc0e2e14093fdb08067023677ee8e8b94b405d26d380b9fe7,medium,single_timestamp_market,Market has only one snapshot timestamp
outputs/polymarket_fixed/all/ml/raw_market_snapshots.csv,all,0x5ad57c6c2095a1bf2a91fd4d736b9d52bd1d0ff7f40e5a837ac687e98984ff9e,medium,single_timestamp_market,Market has only one snapshot timestamp
outputs/polymarket_fixed/all/ml/raw_market_snapshots.csv,all,0x0658c235987746002d83cf4c85b03fb0d1e9052423b2bc0aad149df7159c3ad1,medium,single_timestamp_market,Market has only one snapshot timestamp
outputs/polymarket_fixed/all/ml/raw_market_snapshots.csv,all,0x2fad7a1b63bf43c56f7e16d18b5c8df8f7bf2dcb81696efe6910a81f4917bce4,medium,single_timestamp_market,Market has only one snapshot timestamp
outputs/polymarket_fixed/all/ml/raw_market_snapshots.csv,all,0x83b1a4711a3af976a0bd1bf9bbaa8a99da777c5af1572a3884b5f4fd7e749642,medium,single_timestamp_market,Market has only one snapshot timestamp
outputs/polymarket_fixed/all/ml/raw_market_snapshots.csv,all,0x0f65c4055f03a71a297a259340b8654340b8db526509a638d811e42b67906921,medium,single_timestamp_market,Market has only one snapshot timestamp
outputs/polymarket_fixed/all/ml/raw_market_snapshots.csv,all,0x8ca9dd61ec8061628a1e42304ac4f8cdfda9264273e149e8ddbe0870302ac8ee,medium,single_timestamp_market,Market has only one snapshot timestamp
outputs/polymarket_fixed/all/ml/raw_market_snapshots.csv,all,0xdbebd2dda8bb249c9c5bbcb45de393748795a983e48ffed89d617641cb8fce88,medium,single_timestamp_market,Market has only one snapshot timestamp
outputs/polymarket_fixed/all/ml/raw_market_snapshots.csv,all,0x1942527d67a1d9386379cbc03b2ae63616ca2d6fbac027cb251c9b95c98bfabc,medium,single_timestamp_market,Market has only one snapshot timestamp
outputs/polymarket_fixed/all/ml/raw_market_snapshots.csv,all,0xee3872067dc37377b81ced92475aaca49b7a4c54091fa8c073849c66780b613a,medium,single_timestamp_market,Market has only one snapshot timestamp
outputs/polymarket_fixed/all/ml/raw_market_snapshots.csv,all,0x813bda53cb76ad73cc13a34a56027e106f80e346fdbe8a77ddbdafb5798b13e1,medium,single_timestamp_market,Market has only one snapshot timestamp
