holdout_roi_ci_low,holdout_roi_ci_high,rule_family,rule_value,family,outcome,rows,markets,roi,profit_usdc_per_1_stake,win_rate,avg_entry_price,dev_rows,dev_markets,dev_roi,dev_profit_usdc_per_1_stake,dev_win_rate,holdout_rows,holdout_markets,holdout_roi,holdout_profit_usdc_per_1_stake,holdout_win_rate,promotable,promotion_reason
0.6000000000000001,0.6528925619834711,family_price_time,tennis_tennis_set|price=0.60-0.80|time=6-24h,tennis_tennis_set,under,4,4,-0.1867768595041322,-0.7471074380165288,0.5,0.62875,2,2,-1.0,-2.0,0.0,2,2,0.6264462809917356,1.2528925619834712,1.0,False,"needs dev_rows>=20, dev_markets>=5, holdout_rows>=6, holdout_markets>=4, avg_entry_price>=0.05, dev_roi>=2.00%, holdout_roi>=2.00%, holdout_roi_ci_low>=0.00%"
0.0,0.06382978723404253,family_time,tennis_tennis_total|time=1-6h,tennis_tennis_total,under,16,8,-0.03198726299030251,-0.5117962078448401,0.5,0.5,10,5,-0.06394557823129252,-0.6394557823129252,0.5,6,3,0.021276595744680844,0.12765957446808507,0.5,False,"needs dev_rows>=20, dev_markets>=5, holdout_rows>=6, holdout_markets>=4, avg_entry_price>=0.05, dev_roi>=2.00%, holdout_roi>=2.00%, holdout_roi_ci_low>=0.00%"
0.0,0.06382978723404253,family_price_time,tennis_tennis_total|price=0.40-0.60|time=1-6h,tennis_tennis_total,under,14,7,0.009118541033434648,0.12765957446808507,0.5,0.5,8,4,0.0,0.0,0.5,6,3,0.021276595744680844,0.12765957446808507,0.5,False,"needs dev_rows>=20, dev_markets>=5, holdout_rows>=6, holdout_markets>=4, avg_entry_price>=0.05, dev_roi>=2.00%, holdout_roi>=2.00%, holdout_roi_ci_low>=0.00%"
0.0,0.0,family_time,tennis_tennis_total|time=1-3d,tennis_tennis_total,under,12,3,0.0,0.0,0.5,0.5,4,1,0.0,0.0,0.5,8,2,0.0,0.0,0.5,False,"needs dev_rows>=20, dev_markets>=5, holdout_rows>=6, holdout_markets>=4, avg_entry_price>=0.05, dev_roi>=2.00%, holdout_roi>=2.00%, holdout_roi_ci_low>=0.00%"
0.0,0.0,family_price_time,tennis_tennis_total|price=0.40-0.60|time=1-3d,tennis_tennis_total,under,12,3,0.0,0.0,0.5,0.5,4,1,0.0,0.0,0.5,8,2,0.0,0.0,0.5,False,"needs dev_rows>=20, dev_markets>=5, holdout_rows>=6, holdout_markets>=4, avg_entry_price>=0.05, dev_roi>=2.00%, holdout_roi>=2.00%, holdout_roi_ci_low>=0.00%"
0.0,0.0,family,tennis_tennis_winner,tennis_tennis_winner,boyer,54,10,0.0315037918892083,1.7012047620172481,0.5,0.5,38,8,0.04476854636887495,1.7012047620172481,0.5,16,2,0.0,0.0,0.5,False,"needs dev_rows>=20, dev_markets>=5, holdout_rows>=6, holdout_markets>=4, avg_entry_price>=0.05, dev_roi>=2.00%, holdout_roi>=2.00%, holdout_roi_ci_low>=0.00%"
0.0,0.0,family_price,tennis_tennis_winner|price=0.40-0.60,tennis_tennis_winner,boyer,48,8,-0.0012135922330097082,-0.058252427184465994,0.5,0.5,32,6,-0.0018203883495145623,-0.058252427184465994,0.5,16,2,0.0,0.0,0.5,False,"needs dev_rows>=20, dev_markets>=5, holdout_rows>=6, holdout_markets>=4, avg_entry_price>=0.05, dev_roi>=2.00%, holdout_roi>=2.00%, holdout_roi_ci_low>=0.00%"
0.0,0.0,family_time,tennis_tennis_winner|time=6-24h,tennis_tennis_winner,boyer,34,7,0.03137492861222159,1.066747572815534,0.5,0.5,22,5,0.048488526037069726,1.066747572815534,0.5,12,2,0.0,0.0,0.5,False,"needs dev_rows>=20, dev_markets>=5, holdout_rows>=6, holdout_markets>=4, avg_entry_price>=0.05, dev_roi>=2.00%, holdout_roi>=2.00%, holdout_roi_ci_low>=0.00%"
0.0,0.0,family_price_time,tennis_tennis_winner|price=0.40-0.60|time=6-24h,tennis_tennis_winner,boyer,32,6,-0.0018203883495145623,-0.058252427184465994,0.5,0.5,20,4,-0.0029126213592232998,-0.058252427184465994,0.5,12,2,0.0,0.0,0.5,False,"needs dev_rows>=20, dev_markets>=5, holdout_rows>=6, holdout_markets>=4, avg_entry_price>=0.05, dev_roi>=2.00%, holdout_roi>=2.00%, holdout_roi_ci_low>=0.00%"
0.0,0.0,family_time,tennis_tennis_winner|time=1-6h,tennis_tennis_winner,boyer,20,10,0.031722859460085726,0.6344571892017146,0.5,0.5,16,8,0.03965357432510716,0.6344571892017146,0.5,4,2,0.0,0.0,0.5,False,"needs dev_rows>=20, dev_markets>=5, holdout_rows>=6, holdout_markets>=4, avg_entry_price>=0.05, dev_roi>=2.00%, holdout_roi>=2.00%, holdout_roi_ci_low>=0.00%"
